name,ring,quadrant,isNew,description
k8s,Recommended,Platform,False,
Github actions,Recommended,Platform,False,
Jenkins,Recommended,Tools,False,
Prometheus operator,Recommended,Tools,False,
Deckhouse,Recommended,Platform,False,
Grafana,Recommended,Tools,False,
Postgres,Recommended,Tools,False,
Nexus,Recommended,Tools,False,
Artifactory,Recommended,Tools,False,
Helm,Recommended,Tools,False,
Nginx,Recommended,Tools,False,
SonarQube,Recommended,Tools,False,
Distroless images,Run-in,Techniques,True,
Software Bill of Materials,Run-in,Techniques,True,
KubeClarity,Grade,Tools,False,
IaC,Recommended,Techniques,True,
ELF/EFK,Recommended,Tools,True,
cdk8s,Grade,Tools,True,
Four key metrics,Grade,Techniques,True,
kube-score,Run-in,Tools,True,
GitFlow,Recommended,Techniques,False,
GitHubFlow,Recommended,Techniques,False,
Conftest,Grade,Tools,True,
Redo,Grade,Languages & Frameworks,True,
Groovy,Recommended,Languages & Frameworks,False,
Go,Run-in,Languages & Frameworks,False,
Operator SDK,Grade,Languages & Frameworks,True,
Earthly,Grade,Tools,True,
Opsgenie,Recommended,Tools,False,
OpenSLO,Grade,Languages & Frameworks,False,
Shell Operator,Grade,Languages & Frameworks,True,
Kafka,Grade,Tools,False,message broker
Envoy,Grade,Tools,True,
BuildPacks,Grade,Tools,False,
ArgoCD,Grade,Tools,False,
Jaeger,Recommended,Tools,False,
OpenTelemetry,Grade,Tools,False,
Chaos engineering,Grade,Techniques,True,
Litmus,Grade,Tools,True,
Yandex Cloud,Recommended,Platform,False,
Vault,Run-in,Tools,True,
Teleport,Grade,Tools,True,
Rabbit,Recommended,Tools,False,
Terraform,Recommended,Tools,False,
Docker,Recommended,Tools,False,
Haproxy,Recommended,Tools,False,
The Twelve-Factor App,Recommended,Techniques,False,
